incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000059,2024-01-01,COL-01,CUSTOMER_COMPLAINT,Refund request for incorrect order delivered,CLOSED,CLI-254511,1,MGR-08
BRS-000060,2024-01-03,COL-08,CUSTOMER_COMPLAINT,Claim for reservation not found on arrival,OPEN,CLI-905819,,MGR-04
BRS-000061,2024-01-16,COL-07,CUSTOMER_COMPLAINT,Refund request for incorrect order delivered,CLOSED,CLI-502630,3,MGR-03
BRS-000062,2024-01-29,FLA-03,CUSTOMER_COMPLAINT,Complaint about disrespectful floor staff behavior,OPEN,CLI-105814,,MGR-07
BRS-000063,2024-01-26,FLA-02,SUPPLY,Daily fresh vegetable order not received,CLOSED,,2,MGR-08
BRS-000064,2024-01-08,FLA-04,SUPPLY,Shortage of beef for main menu cuts,CLOSED,,3,MGR-08
BRS-000065,2024-01-15,FLA-01,STAFF,Employee did not follow uniform protocol,OPEN,,,MGR-06
BRS-000066,2024-01-20,FLA-04,CUSTOMER_COMPLAINT,Claim for reservation not found on arrival,OPEN,CLI-564071,,MGR-08
BRS-000067,2024-01-28,COL-08,FOOD_QUALITY,Portion served below menu standard,CLOSED,CLI-879779,3,MGR-05
BRS-000068,2024-01-21,COL-05,EQUIPMENT,Industrial dishwasher water leak detected,OPEN,CLI-980660,,MGR-08
BRS-000069,2024-01-15,COL-02,FOOD_QUALITY,Side dish served undercooked,OPEN,CLI-387936,,MGR-05
BRS-000070,2024-01-11,COL-06,CUSTOMER_COMPLAINT,Complaint about disrespectful floor staff behavior,OPEN,,,MGR-03
BRS-000071,2024-01-13,FLA-02,CUSTOMER_COMPLAINT,Customer reports billing error,OPEN,,,MGR-04
BRS-000072,2024-01-14,COL-06,STAFF,Employee did not follow uniform protocol,OPEN,,,MGR-08
BRS-000073,2024-01-27,COL-07,SUPPLY,"Low charcoal stock for grills, urgent order placed",DISCARDED,CLI-316881,,MGR-01
BRS-000074,2024-01-19,COL-07,STAFF,Customer complaint about server behavior,CLOSED,CLI-902784,2,MGR-01
BRS-000075,2024-01-25,COL-07,SUPPLY,Delay in cleaning supply delivery,DISCARDED,CLI-413118,,MGR-07
BRS-000076,2024-01-18,FLA-03,STAFF,Employee did not follow uniform protocol,OPEN,CLI-870319,,MGR-04
BRS-000077,2024-01-14,COL-08,CUSTOMER_COMPLAINT,Customer dissatisfied with table wait time,CLOSED,CLI-386193,4,MGR-07
BRS-000078,2024-01-22,FLA-03,FOOD_QUALITY,Portion served below menu standard,CLOSED,,4,MGR-03
BRS-000079,2024-01-15,FLA-02,EQUIPMENT,nan,OPEN,,,MGR-07
BRS-000080,2024-01-20,COL-09,STAFF,Employee arrived late for opening shift,CLOSED,CLI-233827,4,MGR-07
BRS-000081,2024-01-01,COL-02,SUPPLY,Shortage of imported beverages on menu,CLOSED,CLI-795205,4,MGR-07
BRS-000082,2024-01-15,COL-03,EQUIPMENT,Main kitchen grill failure,CLOSED,,5,MGR-05
BRS-000083,2024-01-15,COL-06,CUSTOMER_COMPLAINT,Customer reports order took over 40 minutes,DISCARDED,CLI-321941,,MGR-07
BRS-000084,2024-01-31,FLA-04,FOOD_QUALITY,Portion served below menu standard,CLOSED,,5,MGR-05
BRS-000085,2024-01-01,FLA-02,STAFF,Employee did not follow uniform protocol,CLOSED,CLI-593152,4,MGR-01
BRS-000086,2024-01-19,COL-07,FOOD_QUALITY,Temperature review completed without issues,CLOSED,,,MGR-02
BRS-000087,2024-01-08,FLA-01,CUSTOMER_COMPLAINT,Complaint about disrespectful floor staff behavior,OPEN,CLI-466960,,MGR-01
BRS-000088,2024-01-07,FLA-04,SUPPLY,Shortage of beef for main menu cuts,OPEN,CLI-359295,,MGR-03
BRS-000089,2024-01-16,FLA-01,FOOD_QUALITY,Meat served at incorrect doneness per order,CLOSED,,3,MGR-04
BRS-000090,2024-01-25,COL-06,CUSTOMER_COMPLAINT,Customer reports billing error,OPEN,CLI-368690,,MGR-02
BRS-000091,2024-01-31,COL-05,FOOD_QUALITY,Meat served at incorrect doneness per order,CLOSED,CLI-271720,3,MGR-01
BRS-000092,2024-01-22,COL-07,FOOD_QUALITY,Portion served below menu standard,DISCARDED,CLI-703766,,MGR-04
BRS-000093,2024-01-23,FLA-04,CUSTOMER_COMPLAINT,Refund request for incorrect order delivered,CLOSED,,5,MGR-02
BRS-000094,2024-01-28,FLA-01,CUSTOMER_COMPLAINT,Complaint about disrespectful floor staff behavior,CLOSED,CLI-416232,5,MGR-01
BRS-000095,2024-01-14,FLA-01,CUSTOMER_COMPLAINT,Customer reports order took over 40 minutes,DISCARDED,,,MGR-02
BRS-000096,2024-01-01,FLA-04,EQUIPMENT,Vent hood operating poorly,DISCARDED,CLI-457806,,MGR-08
BRS-000097,2024-01-31,COL-06,EQUIPMENT,Venue music system off without response,CLOSED,,4,MGR-08
BRS-000098,2024-01-06,FLA-02,CUSTOMER_COMPLAINT,Complaint about inadequate venue temperature,DISCARDED,CLI-556641,,MGR-08
BRS-000099,2024-01-24,COL-10,CUSTOMER_COMPLAINT,Complaint about inadequate venue temperature,CLOSED,CLI-965845,3,MGR-06
BRS-000100,2024-01-30,COL-02,FOOD_QUALITY,House sauce tastes different than usual,OPEN,CLI-971084,,MGR-08
